CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment,FirstPurchase,LastPurchase,TenureDays,RecencyDays,AvgOrderValue
12346,326,1,77183.6,1,1,5,115,At Risk,2011-01-18 10:01:00,2011-01-18 10:01:00,325,325,77183.6
12347,2,182,4310.0,5,5,5,555,Champions,2010-12-07 14:57:00,2011-12-07 15:52:00,366,1,23.681318681318682
12348,75,31,1797.24,2,3,4,234,At Risk,2010-12-16 19:09:00,2011-09-25 13:13:00,357,74,57.97548387096774
12349,19,73,1757.55,4,4,4,444,Champions,2011-11-21 09:51:00,2011-11-21 09:51:00,18,18,24.076027397260273
12350,310,17,334.40000000000003,1,2,2,122,Others,2011-02-02 16:01:00,2011-02-02 16:01:00,309,309,19.67058823529412
12352,36,85,2506.04,3,4,5,345,Loyal,2011-02-16 12:33:00,2011-11-03 14:37:00,296,35,29.482823529411764
12353,204,4,89.0,1,1,1,111,Others,2011-05-19 17:47:00,2011-05-19 17:47:00,203,203,22.25
12354,232,58,1079.4,1,3,4,134,At Risk,2011-04-21 13:11:00,2011-04-21 13:11:00,231,231,18.610344827586207
12355,214,13,459.40000000000003,1,1,2,112,Others,2011-05-09 13:49:00,2011-05-09 13:49:00,213,213,35.338461538461544
12356,23,59,2811.43,4,4,5,445,Champions,2011-01-18 09:50:00,2011-11-17 08:40:00,325,22,47.65135593220339
12357,33,131,6207.67,4,5,5,455,Champions,2011-11-06 16:07:00,2011-11-06 16:07:00,32,32,47.38679389312977
12358,2,19,1168.06,5,2,4,524,Others,2011-07-12 10:04:00,2011-12-08 10:26:00,150,1,61.47684210526315
12359,58,248,6372.58,3,5,5,355,Loyal,2011-01-12 12:43:00,2011-10-13 12:47:00,331,57,25.695887096774193
12360,52,129,2662.06,3,5,5,355,Loyal,2011-05-23 09:43:00,2011-10-18 15:22:00,200,51,20.63612403100775
12361,287,10,189.9,1,1,1,111,Others,2011-02-25 13:51:00,2011-02-25 13:51:00,286,286,18.990000000000002
12362,3,266,5226.2300000000005,5,5,5,555,Champions,2011-02-17 10:30:00,2011-12-06 15:40:00,295,2,19.64748120300752
12363,110,23,552.0,2,2,3,223,Others,2011-04-11 13:29:00,2011-08-22 10:18:00,241,109,24.0
12364,8,85,1313.1,5,4,4,544,Champions,2011-08-19 15:24:00,2011-12-02 10:22:00,111,7,15.448235294117646
12365,291,22,641.38,1,2,3,123,Others,2011-02-21 13:51:00,2011-02-21 14:04:00,290,290,29.153636363636362
12367,4,11,168.9,5,1,1,511,New,2011-12-05 16:48:00,2011-12-05 16:48:00,3,3,15.354545454545455
12370,51,167,3545.69,3,5,5,355,Loyal,2010-12-14 12:58:00,2011-10-19 14:51:00,359,50,21.231676646706585
12371,45,63,1887.96,3,4,4,344,Loyal,2011-10-11 10:43:00,2011-10-26 10:16:00,59,44,29.96761904761905
12372,72,52,1298.04,3,3,4,334,Loyal,2011-02-16 12:46:00,2011-09-29 12:12:00,296,71,24.962307692307693
12373,311,14,364.6,1,1,2,112,Others,2011-02-01 13:10:00,2011-02-01 13:10:00,310,310,26.042857142857144
12374,25,33,742.9300000000001,4,3,3,433,Loyal,2011-11-14 15:37:00,2011-11-14 15:37:00,24,24,22.513030303030305
12375,11,17,457.5,5,2,2,522,New,2011-09-02 14:23:00,2011-11-29 10:36:00,97,10,26.91176470588235
12377,315,77,1628.1200000000001,1,4,4,144,At Risk,2010-12-20 09:37:00,2011-01-28 15:45:00,354,314,21.144415584415587
12378,130,219,4008.62,2,5,5,255,At Risk,2011-08-02 10:34:00,2011-08-02 10:34:00,129,129,18.30420091324201
12379,82,40,852.24,2,3,3,233,Others,2011-06-22 16:32:00,2011-09-19 10:09:00,169,81,21.306
12380,22,104,2724.81,4,4,5,445,Champions,2011-06-07 09:49:00,2011-11-18 11:27:00,185,21,26.200096153846154
12381,5,87,1845.31,5,4,4,544,Champions,2011-08-12 09:57:00,2011-12-05 12:44:00,119,4,21.21045977011494
12383,185,99,1850.56,1,4,4,144,At Risk,2010-12-22 14:28:00,2011-06-08 08:02:00,351,184,18.69252525252525
12384,29,27,585.27,4,2,3,423,Others,2011-08-10 11:23:00,2011-11-11 08:39:00,121,28,21.676666666666666
12386,338,10,401.9,1,1,2,112,Others,2010-12-08 09:53:00,2011-01-06 12:37:00,366,337,40.19
12388,16,100,2780.6600000000003,4,4,5,445,Champions,2011-01-17 11:12:00,2011-11-24 12:30:00,326,15,27.806600000000003
12390,80,32,549.84,2,3,3,233,Others,2011-09-21 09:33:00,2011-09-21 09:33:00,79,79,17.1825
12391,22,100,460.89,4,4,2,442,Others,2011-11-18 12:07:00,2011-11-18 12:07:00,21,21,4.6089
12393,72,64,1582.6000000000001,3,4,4,344,Loyal,2011-01-11 09:47:00,2011-09-28 15:41:00,332,71,24.728125000000002
12394,64,27,1272.48,3,2,4,324,Others,2011-05-06 14:01:00,2011-10-07 08:08:00,216,63,47.12888888888889
12395,19,156,3018.63,4,5,5,455,Champions,2010-12-03 16:35:00,2011-11-20 15:21:00,370,18,19.350192307692307
12397,36,126,2409.9,3,5,5,355,Loyal,2011-07-27 14:21:00,2011-11-04 09:52:00,134,35,19.126190476190477
12398,46,85,1635.6599999999999,3,4,4,344,Loyal,2011-10-25 10:27:00,2011-10-25 10:27:00,45,45,19.24305882352941
12399,119,59,1108.65,2,4,4,244,At Risk,2011-03-23 09:42:00,2011-08-12 13:15:00,261,118,18.790677966101697
12401,303,5,84.3,1,1,1,111,Others,2011-02-09 13:50:00,2011-02-09 13:50:00,302,302,16.86
12402,323,11,225.60000000000002,1,1,1,111,Others,2011-01-20 13:49:00,2011-01-20 13:49:00,322,322,20.50909090909091
12403,50,5,427.7,3,1,2,312,Others,2011-10-21 10:51:00,2011-10-21 10:51:00,49,49,85.53999999999999
12405,149,54,1710.39,2,3,4,234,At Risk,2011-07-14 08:52:00,2011-07-14 08:52:00,148,148,31.67388888888889
12406,22,105,3415.3,4,4,5,445,Champions,2011-06-09 10:23:00,2011-11-17 19:22:00,183,21,32.52666666666667
12407,50,77,1708.12,3,4,4,344,Loyal,2011-03-20 13:21:00,2011-10-21 10:11:00,263,49,22.18337662337662
12408,33,105,2888.55,4,4,5,445,Champions,2011-03-24 14:46:00,2011-11-07 12:27:00,259,32,27.51
12409,79,109,11072.67,2,4,5,245,At Risk,2011-06-10 12:19:00,2011-09-22 10:38:00,182,78,101.58412844036697
12410,309,26,693.33,1,2,3,123,Others,2011-02-04 10:38:00,2011-02-04 10:39:00,308,308,26.66653846153846
12412,75,61,1226.88,2,4,4,244,At Risk,2011-06-23 13:51:00,2011-09-26 10:16:00,168,74,20.112786885245903
12413,67,38,758.1,3,3,3,333,Loyal,2011-01-06 16:12:00,2011-10-04 09:00:00,336,66,19.95
12414,217,18,562.4100000000001,1,2,3,123,Others,2011-02-02 14:51:00,2011-05-06 14:51:00,309,216,31.245000000000005
12415,24,714,124914.53,4,5,5,455,Champions,2011-01-06 11:12:00,2011-11-15 14:22:00,337,23,174.95032212885152
12417,3,192,3649.1,5,5,5,555,Champions,2010-12-17 11:51:00,2011-12-06 14:52:00,357,2,19.005729166666665
12418,113,34,668.58,2,3,3,233,Others,2011-08-19 11:08:00,2011-08-19 11:08:00,112,112,19.664117647058823
12420,64,29,600.39,3,2,3,323,Others,2011-10-07 08:55:00,2011-10-07 08:55:00,63,63,20.70310344827586
12421,16,45,807.04,4,3,3,433,Loyal,2011-01-24 15:09:00,2011-11-24 09:07:00,318,15,17.93422222222222
12422,96,39,803.5600000000001,2,3,3,233,Others,2011-01-19 09:13:00,2011-09-05 09:48:00,324,95,20.604102564102565
12423,1,125,1859.31,5,5,4,554,Champions,2010-12-21 10:54:00,2011-12-09 10:10:00,353,0,14.87448
12424,163,30,1760.96,2,3,4,234,At Risk,2011-06-30 12:06:00,2011-06-30 12:06:00,162,162,58.69866666666667
12425,78,36,777.2,2,3,3,233,Others,2011-09-22 17:31:00,2011-09-22 17:31:00,77,77,21.58888888888889
