CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment,FirstPurchase,LastPurchase,TenureDays,RecencyDays,AvgOrderValue,HistoricalLTV,PredictedLTV_Next6Months
12346,326,1,77183.6,1,1,5,115,At Risk,2011-01-18 10:01:00,2011-01-18 10:01:00,325,325,77183.6,77183.6,67054.63560000001
12347,2,182,4310.0,5,5,5,555,Champions,2010-12-07 14:57:00,2011-12-07 15:52:00,366,1,23.68131868131868,4310.0,4764.672700000007
12348,75,31,1797.24,2,3,4,234,At Risk,2010-12-16 19:09:00,2011-09-25 13:13:00,357,74,57.97548387096774,1797.24,1703.8573000000001
12349,19,73,1757.55,4,4,4,444,Champions,2011-11-21 09:51:00,2011-11-21 09:51:00,18,18,24.076027397260276,1757.55,1706.0578999999996
12350,310,17,334.40000000000003,1,2,2,122,Others,2011-02-02 16:01:00,2011-02-02 16:01:00,309,309,19.67058823529412,334.40000000000003,200.44980000000004
12352,36,85,2506.04,3,4,5,345,Loyal,2011-02-16 12:33:00,2011-11-03 14:37:00,296,35,29.482823529411764,2506.04,3512.4754000000003
12353,204,4,89.0,1,1,1,111,Others,2011-05-19 17:47:00,2011-05-19 17:47:00,203,203,22.25,89.0,132.30839999999998
12354,232,58,1079.4,1,3,4,134,At Risk,2011-04-21 13:11:00,2011-04-21 13:11:00,231,231,18.610344827586207,1079.4,794.396
12355,214,13,459.4,1,1,2,112,Others,2011-05-09 13:49:00,2011-05-09 13:49:00,213,213,35.338461538461544,459.40000000000003,823.1736999999995
12356,23,59,2811.43,4,4,5,445,Champions,2011-01-18 09:50:00,2011-11-17 08:40:00,325,22,47.65135593220339,2811.43,2783.3483
12357,33,131,6207.67,4,5,5,455,Champions,2011-11-06 16:07:00,2011-11-06 16:07:00,32,32,47.38679389312977,6207.67,6627.7776
12358,2,19,1168.06,5,2,4,524,Others,2011-07-12 10:04:00,2011-12-08 10:26:00,150,1,61.47684210526315,1168.06,2327.6166999999996
12359,58,248,6372.58,3,5,5,355,Loyal,2011-01-12 12:43:00,2011-10-13 12:47:00,331,57,25.695887096774197,6372.58,4240.636000000001
12360,52,129,2662.06,3,5,5,355,Loyal,2011-05-23 09:43:00,2011-10-18 15:22:00,200,51,20.63612403100775,2662.06,3503.8876
12361,287,10,189.9,1,1,1,111,Others,2011-02-25 13:51:00,2011-02-25 13:51:00,286,286,18.99,189.9,262.16599999999994
12362,3,266,5226.2300000000005,5,5,5,555,Champions,2011-02-17 10:30:00,2011-12-06 15:40:00,295,2,19.64748120300752,5226.2300000000005,6422.219600000003
12363,110,23,552.0,2,2,3,223,Others,2011-04-11 13:29:00,2011-08-22 10:18:00,241,109,24.0,552.0,586.3503000000003
12364,8,85,1313.1,5,4,4,544,Champions,2011-08-19 15:24:00,2011-12-02 10:22:00,111,7,15.448235294117646,1313.1,1729.3653999999992
12365,291,22,641.38,1,2,3,123,Others,2011-02-21 13:51:00,2011-02-21 14:04:00,290,290,29.15363636363636,641.38,815.1239
12367,4,11,168.9,5,1,1,511,New,2011-12-05 16:48:00,2011-12-05 16:48:00,3,3,15.354545454545455,168.9,208.9823
12370,51,167,3545.69,3,5,5,355,Loyal,2010-12-14 12:58:00,2011-10-19 14:51:00,359,50,21.231676646706585,3545.69,5371.350599999996
12371,45,63,1887.96,3,4,4,344,Loyal,2011-10-11 10:43:00,2011-10-26 10:16:00,59,44,29.96761904761905,1887.96,1918.7466000000004
12372,72,52,1298.04,3,3,4,334,Loyal,2011-02-16 12:46:00,2011-09-29 12:12:00,296,71,24.962307692307693,1298.04,1287.3676999999998
12373,311,14,364.6,1,1,2,112,Others,2011-02-01 13:10:00,2011-02-01 13:10:00,310,310,26.042857142857144,364.6,389.0851
12374,25,33,742.9300000000001,4,3,3,433,Loyal,2011-11-14 15:37:00,2011-11-14 15:37:00,24,24,22.513030303030305,742.9300000000001,894.4075999999998
12375,11,17,457.5,5,2,2,522,New,2011-09-02 14:23:00,2011-11-29 10:36:00,97,10,26.91176470588235,457.5,291.74330000000015
12377,315,77,1628.12,1,4,4,144,At Risk,2010-12-20 09:37:00,2011-01-28 15:45:00,354,314,21.144415584415587,1628.1200000000001,957.1621
12378,130,219,4008.62,2,5,5,255,At Risk,2011-08-02 10:34:00,2011-08-02 10:34:00,129,129,18.30420091324201,4008.62,2339.608000000001
12379,82,40,852.24,2,3,3,233,Others,2011-06-22 16:32:00,2011-09-19 10:09:00,169,81,21.306,852.24,590.3580000000003
12380,22,104,2724.81,4,4,5,445,Champions,2011-06-07 09:49:00,2011-11-18 11:27:00,185,21,26.200096153846157,2724.81,2855.8385000000003
12381,5,87,1845.31,5,4,4,544,Champions,2011-08-12 09:57:00,2011-12-05 12:44:00,119,4,21.21045977011494,1845.31,2130.131799999999
12383,185,99,1850.56,1,4,4,144,At Risk,2010-12-22 14:28:00,2011-06-08 08:02:00,351,184,18.69252525252525,1850.56,1103.4176
12384,29,27,585.27,4,2,3,423,Others,2011-08-10 11:23:00,2011-11-11 08:39:00,121,28,21.676666666666662,585.27,401.36464000000007
12386,338,10,401.9,1,1,2,112,Others,2010-12-08 09:53:00,2011-01-06 12:37:00,366,337,40.19,401.9,1308.4123999999993
12388,16,100,2780.6600000000003,4,4,5,445,Champions,2011-01-17 11:12:00,2011-11-24 12:30:00,326,15,27.806600000000003,2780.6600000000003,3141.3412999999996
12390,80,32,549.84,2,3,3,233,Others,2011-09-21 09:33:00,2011-09-21 09:33:00,79,79,17.1825,549.84,652.9631000000002
12391,22,100,460.89,4,4,2,442,Others,2011-11-18 12:07:00,2011-11-18 12:07:00,21,21,4.6089,460.89,605.1799000000001
12393,72,64,1582.6,3,4,4,344,Loyal,2011-01-11 09:47:00,2011-09-28 15:41:00,332,71,24.728125,1582.6000000000001,1420.5520000000004
12394,64,27,1272.48,3,2,4,324,Others,2011-05-06 14:01:00,2011-10-07 08:08:00,216,63,47.12888888888889,1272.48,1204.5896000000005
12395,19,156,3018.63,4,5,5,455,Champions,2010-12-03 16:35:00,2011-11-20 15:21:00,370,18,19.350192307692307,3018.63,3405.4019
12397,36,126,2409.9,3,5,5,355,Loyal,2011-07-27 14:21:00,2011-11-04 09:52:00,134,35,19.12619047619048,2409.9,2163.286400000001
12398,46,85,1635.66,3,4,4,344,Loyal,2011-10-25 10:27:00,2011-10-25 10:27:00,45,45,19.24305882352941,1635.6599999999999,1556.3183999999987
12399,119,59,1108.65,2,4,4,244,At Risk,2011-03-23 09:42:00,2011-08-12 13:15:00,261,118,18.790677966101697,1108.65,898.1565999999998
12401,303,5,84.3,1,1,1,111,Others,2011-02-09 13:50:00,2011-02-09 13:50:00,302,302,16.86,84.3,72.338
12402,323,11,225.6,1,1,1,111,Others,2011-01-20 13:49:00,2011-01-20 13:49:00,322,322,20.50909090909091,225.60000000000002,180.3702
